entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Spinach,2022,1.00912794,3.77424139,4.08318636,13.3911693,0.99229389,3.35518673,3.77424239,11.8183821,1.155468526,4.309465942,0.52878216,TRUE,1,,
Sponge cake,2022,1.87744838,0.48579965,5.39665418,1.06413941,2.3955995,0.62323996,6.93183432,1.37332877,2.149710087,0.554690819,0.698879308,TRUE,3,,
Strawberries,2022,3.241715,5.18019496,24.4020237,64.0460411,3.44723,5.50860377,25.9490388,68.1063678,3.711818396,5.914797556,3.160119003,TRUE,1,,
Sugar,2022,1.85168567,0.46497692,159.733044,239.244524,2.15366937,0.53946856,198.893081,293.640795,2.120211349,0.530915221,20.68580188,TRUE,1,,
Sunflower oil,2022,3.66139721,0.42454069,,0.37529397,19.4612671,2.25705277,,1.99523465,4.192361611,0.484744736,0,TRUE,1,,
Sunflower seeds,2022,1.93442411,0.32407742,0.91135945,0.37943476,10.979753,1.83901472,5.17035369,2.15324997,2.214948259,0.370034786,0.118023175,TRUE,1,,
Sweetcorn,2022,0.97120348,1.28932998,2.40097568,6.79592517,2.08279716,2.75213048,5.13855621,14.521169,1.112044379,1.472169653,0.310931952,TRUE,1,,
Tofu,2022,1.02086546,0.54250977,0.61469418,0.84694802,3.03481717,2.12985326,2.16106325,3.6819345,1.168908184,0.619442991,0.07960433,TRUE,1,,
Tomato ketchup,2022,2.60979421,2.37888922,16.7541065,108.468603,1.66776327,1.35234523,8.80069083,54.8690073,2.988258424,2.71623911,2.169695882,TRUE,1,,
Tomatoes,2022,2.27151546,11.728079,28.6729315,100.32943,0.88901834,4.59135205,11.2292497,39.1720789,2.600923545,13.39123596,3.713211528,TRUE,1,,
